iter	Passed	Remaining
762	2767	859
763	2776	857
764	2778	853
765	2780	849
766	2782	845
767	2784	841
768	2790	838
769	2792	834
770	2794	830
771	2796	825
772	2797	821
773	2799	817
774	2802	813
775	2805	809
776	2807	805
777	2808	801
778	2810	797
779	2812	793
780	2813	789
781	2817	785
782	2820	781
783	2822	777
784	2824	773
785	2825	769
786	2827	765
787	2828	761
788	2831	757
789	2834	753
790	2836	749
791	2838	745
792	2839	741
793	2841	737
794	2842	733
795	2844	729
796	2846	725
797	2849	721
798	2850	717
799	2852	713
800	2855	709
801	2858	705
802	2860	701
803	2863	698
804	2865	694
805	2868	690
806	2869	686
807	2871	682
808	2874	678
809	2877	675
810	2880	671
811	2882	667
812	2883	663
813	2885	659
814	2887	655
815	2890	651
816	2892	647
817	2895	644
818	2897	640
819	2899	636
820	2900	632
821	2902	628
822	2904	624
823	2905	620
824	2909	617
825	2911	613
826	2913	609
827	2915	605
828	2917	601
829	2919	597
830	2921	594
831	2924	590
832	2927	586
833	2928	582
834	2930	579
835	2932	575
836	2934	571
837	2936	567
838	2941	564
839	2943	560
840	2945	556
841	2950	553
842	2955	550
843	2958	546
844	2960	543
845	2962	539
846	2964	535
847	2965	531
848	2968	527
849	2973	524
850	2975	520
851	2977	517
852	2979	513
853	2981	509
854	2983	505
855	2985	502
856	2987	498
857	2989	494
858	2990	490
859	2992	487
860	2994	483
861	2995	479
862	2997	475
863	3000	472
864	3002	468
865	3004	464
866	3006	461
867	3007	457
868	3009	453
869	3011	449
870	3013	446
871	3017	442
872	3019	439
873	3021	435
874	3022	431
875	3024	428
876	3026	424
877	3028	420
878	3034	417
879	3036	414
880	3038	410
881	3040	406
882	3042	403
883	3044	399
884	3048	396
885	3050	392
886	3052	388
887	3054	385
888	3056	381
889	3058	377
890	3063	374
891	3068	371
892	3070	367
893	3073	364
894	3076	360
895	3079	357
896	3082	353
897	3084	350
898	3086	346
899	3088	343
900	3090	339
901	3094	336
902	3096	332
903	3098	329
904	3100	325
905	3102	321
906	3104	318
907	3106	314
908	3109	311
909	3112	307
910	3114	304
911	3117	300
912	3119	297
913	3124	293
914	3126	290
915	3130	287
916	3132	283
917	3139	280
918	3142	277
919	3146	273
920	3150	270
921	3154	266
922	3156	263
923	3158	259
924	3160	256
925	3162	252
926	3164	249
927	3166	245
928	3170	242
929	3172	238
930	3174	235
931	3176	231
932	3178	228
933	3180	224
934	3182	221
935	3186	217
936	3188	214
937	3190	210
938	3192	207
939	3194	203
940	3195	200
941	3197	196
942	3202	193
943	3204	190
944	3206	186
945	3208	183
946	3209	179
947	3211	176
948	3213	172
949	3217	169
950	3219	165
951	3221	162
952	3223	158
953	3225	155
954	3227	152
955	3232	148
956	3235	145
957	3237	141
958	3239	138
959	3242	135
960	3249	131
961	3251	128
962	3254	125
963	3256	121
964	3260	118
965	3263	114
966	3266	111
967	3268	108
968	3271	104
969	3273	101
970	3277	97
971	3279	94
972	3282	91
973	3284	87
974	3286	84
975	3292	80
976	3295	77
977	3298	74
978	3300	70
979	3303	67
980	3305	64
981	3308	60
982	3310	57
983	3313	53
984	3315	50
985	3318	47
986	3322	43
987	3325	40
988	3327	37
989	3330	33
990	3333	30
991	3338	26
992	3340	23
993	3342	20
994	3344	16
995	3346	13
996	3348	10
997	3350	6
998	3353	3
999	3355	0
